role,row_index,source_id,text_sha256
V1_cluster_0_center,3579,ba96ca2817473aca,c66c01e618c790cb9d1c3b05640a882f4d416c82f97d8f061c4ffd30109dafab
V1_cluster_0_center,3034,779f9ac30a58d5fc,42161638dc2463aa2f61ec9a16978c9f649ec794053d5b25205fd0652cba281f
V1_cluster_1_center,2625,a6b543b07b693bf5,badaac7763082a6287ab608f77cb8c67c8efb3761c2f5ae5e0d613618ddcf891
V1_cluster_1_center,352,bfff32959933fecd,d397fbad1485750f012e208823abe5b779c713019e7e0091a75d138abe86dbc8
V1_cluster_2_center,2672,5a13b95ff411567f,0c4de7ce69d9fdb835bbdefcb1af1c6c8aaeb4abcceb9ccb30c963205ee1aa1a
V1_cluster_2_center,2522,0b13e04d33e8e641,b7be2d112ddb4a6678024c5cbe8b5adab3b2fc52ffb9866b85d69ed52b98f0fe
V1_cluster_3_center,3193,7810adda95296978,ebe234e8f52d0a4c8ecd90b255d0780f95d8b61fddeecd8c343526c1555cb05d
V1_cluster_3_center,1267,8952fe784a6520a2,9f50351daa939ab54ffdf775b0dc1a471d2de88db2645b6ba1946b549fe68997
V4_cluster_0_center,2771,b97aaf0980c7dcd6,a4c4f7c938e6f093429e9dfcddcac5f4135d9ab5b0051d7237f3567dcc08ac3c
V4_cluster_0_center,3803,29e646d336cf2992,761a86c9d7055be9ecf98e9ae03f49e6ad070646cc7ebbc5a898a814bf5fd10b
V4_cluster_1_center,1118,b78a8658b40253fc,ca07b5fc0ad49701a896f1f9a48606c8b8632d0acff3c29b4a51cc76efb6419d
V4_cluster_1_center,1233,f9bbc22ccf74bb20,de78f1b9041249645bb23d2e520cbdd7fd2f25b3e48c669a2763d8a03a4c7847
V4_cluster_2_center,2924,d911af0f3ec56515,3f4b8f922074eb1a63e0055ab0e5dcff920c8c4123f4f1366fb426422eed4102
V4_cluster_2_center,3489,a6908cd60462fd8f,6a7911bec365d198b43adff0cb2adb78394f42641a7bbfafc7491484528a9bcf
V4_cluster_3_center,4430,a0ab8859ea1014f3,12f01d070a3ac3ca9386656e6320c678d2bf4fd2c1ff622db24d0b9f36ae87bb
V4_cluster_3_center,1555,e02843fed7cfbd71,ce9c97bbaaa90931c7eb5bca5b6581a86c2062e16a763ade66ee54d93e86f32b
ICA1_1_positive,3384,a345f9f9e11f81d9,5d2e303cd9da3e79866d8bd0f5a89b4566332536d98884b7bf3ea365d428e3a5
ICA1_1_positive,84,92522b43b8e0dda0,f01ca74783aeabb87556c5246777b5363046e0d49aad536c01eaab222cdc80bd
ICA1_1_negative,1285,b4601725c1e9e135,7f6d2eba7dede60799f6b4e473341c2740d02142885b478e352d127d191113eb
ICA1_1_negative,3315,b7482d0e20a98b2d,a8cc59774e14b0a3aea6e17c4c78be21c90d099cab16e7d74fd24c7e9efe1e32
ICA1_2_positive,1602,e64dfc63de4e2d58,36cc3896ab1e52a93dc4165764013fe77ac94077e8dfe3fdde93d4a5f329416c
ICA1_2_positive,4016,0e44ceb0324f2345,7e52a9a2d4319f2f814379a8d9ee066d64afdcac207ae4f5060766d6031cc55d
ICA1_2_negative,4373,3e48aefa2c21e87f,ec328b0cb21dc40732cee89dc99dec8887358e21cd1351e9ef0bb6aa09c8f5c2
ICA1_2_negative,790,0add4cda85abe4fd,94040fc9094267b8b219a2b5bea7fbd4f52775a08c0180f44681918784fcaa7b
ICA1_3_positive,618,8988a208e2382c4e,797d2260528a5a89e25a45158b9e09bc88df62d460c5081fa096fca06e9486ae
ICA1_3_positive,227,93cc955b8f1f7524,96acd66dd3f3e16dc8fc3c60e56d6e76899d67ae0cda8bc704238e5096b967a5
ICA1_3_negative,4406,c10c2e9a1b09519a,b9cbae489d6ba913c5604ed4bea919efd1e1f972b103594978ad9667eb591135
ICA1_3_negative,1273,29fbc060715f80bd,b89d0f38751060832eaa750f348cfd2f622bc0c8c6d8c65f316dc130d637a4ca
ICA1_4_positive,4533,a906f2993946b20e,11ffc60569b033f935f3ce2834eac5c836e10d877aebc2d67291cc0a67fd06b9
ICA1_4_positive,2204,c2a87d412b1352e7,7c6dd9b99be02fbc8799d215dedb9c8f0925bcf2ef6de1c95f568df1b1ef0568
ICA1_4_negative,2157,6c63ec3a1d6e9b77,f12d6ec65729ac14f384cba879520935b32e0f78d60ba51c7fcfadcf29f9cddc
ICA1_4_negative,2858,08ee79f26c118a89,4c2f22bf9059504ac3d7b8cb405b1aa34776c690c8f3ede7f5d01f67da41a973
ICA1_5_positive,2878,04afed259c82445c,099c68aeb733e56f034419edac1dd3c3d27da58a917ae592fa0aecbe88230376
ICA1_5_positive,4322,5e01b8bd63447ba7,1984c67ee62b0f57538c7b3f9fe46bcb7615952251b0b8dba5d4bfd2fd97464b
